FIPS,county,state,year,total_vote,dem_vote,rep_vote
1015,Calhoun,AL,1996,36911,15725,18088
1015,Calhoun,AL,2000,38909,15781,22306
1015,Calhoun,AL,2004,45249,15083,29814
1015,Calhoun,AL,2008,49242,16334,32348
1015,Calhoun,AL,2012,46364,15511,30278
1015,Calhoun,AL,2016,47864,13242,32865
1015,Calhoun,AL,2020,50983,15216,35101
1017,Chambers,AL,1960,7101,5165,1865
1017,Chambers,AL,1964,7187,0,4630
1017,Chambers,AL,1968,10636,1358,1082
1017,Chambers,AL,1972,11003,2076,8716
1017,Chambers,AL,1976,11848,6164,5488
1017,Chambers,AL,1980,11899,6649,4864
1017,Chambers,AL,1984,13463,5302,8024
1017,Chambers,AL,1988,12956,5103,7694
1017,Chambers,AL,1992,13091,5938,5682
1017,Chambers,AL,1996,11097,5515,4707
1017,Chambers,AL,2000,11834,5616,6037
1017,Chambers,AL,2004,13032,5347,7622
1017,Chambers,AL,2008,14956,6799,8067
1017,Chambers,AL,2012,14629,6871,7626
1017,Chambers,AL,2016,13900,5784,7843
1017,Chambers,AL,2020,15284,6365,8753
1019,Cherokee,AL,1960,3973,3097,872
1019,Cherokee,AL,1964,3809,0,1893
1019,Cherokee,AL,1968,5685,462,343
1019,Cherokee,AL,1972,4422,1182,3179
1019,Cherokee,AL,1976,6256,4668,1492
1019,Cherokee,AL,1980,6438,3764,2482
1019,Cherokee,AL,1984,6319,3029,3225
1019,Cherokee,AL,1988,6101,3176,2868
1019,Cherokee,AL,1992,7876,4222,2745
1019,Cherokee,AL,1996,8421,4399,3048
1019,Cherokee,AL,2000,7823,3497,4154
1019,Cherokee,AL,2004,9049,3040,5923
1019,Cherokee,AL,2008,9745,2306,7298
1019,Cherokee,AL,2012,9792,2132,7506
1019,Cherokee,AL,2016,10733,1547,8953
1019,Cherokee,AL,2020,12301,1624,10583
1021,Chilton,AL,1960,5007,1798,3201
1021,Chilton,AL,1964,6847,0,5202
1021,Chilton,AL,1968,8902,566,1602
1021,Chilton,AL,1972,8867,1356,7349
1021,Chilton,AL,1976,10385,5550,4725
1021,Chilton,AL,1980,11477,4706,6615
1021,Chilton,AL,1984,11688,2934,8243
1021,Chilton,AL,1988,12623,3820,8761
1021,Chilton,AL,1992,14468,4946,8126
1021,Chilton,AL,1996,14278,5354,7910
1021,Chilton,AL,2000,15092,4806,10066
1021,Chilton,AL,2004,16693,3778,12829
1021,Chilton,AL,2008,17785,3674,13960
1021,Chilton,AL,2012,17485,3397,13932
1021,Chilton,AL,2016,18369,2911,15081
1021,Chilton,AL,2020,19310,3073,16085
1023,Choctaw,AL,1960,1798,1094,612
1023,Choctaw,AL,1964,2910,0,2497
1023,Choctaw,AL,1968,6093,1641,176
1023,Choctaw,AL,1972,5030,1934,3055
1023,Choctaw,AL,1976,6972,3911,3033
1023,Choctaw,AL,1980,6580,3680,2859
1023,Choctaw,AL,1984,7349,3373,3960
1023,Choctaw,AL,1988,7131,3491,3629
1023,Choctaw,AL,1992,7560,3941,3069
1023,Choctaw,AL,1996,7131,4074,2623
1023,Choctaw,AL,2000,7374,3707,3600
1023,Choctaw,AL,2004,7227,3303,3897
1023,Choctaw,AL,2008,7894,3636,4223
1023,Choctaw,AL,2012,7976,3786,4152
1023,Choctaw,AL,2016,7292,3109,4106
1023,Choctaw,AL,2020,7464,3127,4296
1025,Clarke,AL,1960,3967,1878,2016
1025,Clarke,AL,1964,5384,0,4460
1025,Clarke,AL,1968,8626,1717,488
1025,Clarke,AL,1972,7414,2031,5256
1025,Clarke,AL,1976,9006,4737,4126
1025,Clarke,AL,1980,10663,5249,5059
