,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,军队,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
983,何雄,男,汉族,1969/3/1,湖北省,孝感市,安陆市,博士,1998/12/1,在职,,,,,,,,,,,,,,,,,
984,赵素萍,女,汉族,1958/11/1,河北省,沧州市,献县,博士,1985/5/1,在职,,,,,,,,,,,,,,,,,
985,周春艳,女,汉族,1960/1/1,山东省,济南市,金乡县,硕士,1979/6/1,在职,,,,,,,,,,,,,,,,,
986,李克,男,壮族,1956/12/1,广西壮族自治区,崇左市,扶绥县,硕士,1975/6/1,在职,,,,,,,,,,,,,,,,,
987,陈奎元,男,汉族,1941/1/1,辽宁省,沈阳市,康平县,本科,1965/5/1,退休,,,,,,,,,,,,,,,,,
988,李成玉,男,回族,1946/8/1,宁夏回族自治区,中卫市,海原县,不详,1971/8/1,在职,,,,,,,,,,,,,,,,,
989,曹维新,男,汉族,1950/12/1,吉林省,吉林市,蛟河县,本科,1971/6/1,退休,,,,,,,,,,,,,,,,,
990,王明义,男,汉族,1945/7/1,河南省,周口市,鹿邑县,本科,1965/11/1,退休,,,,,,,,,,,,,,,,,
991,张国光,男,汉族,1945/4/1,辽宁省,葫芦岛市,绥中县,本科,1966/2/1,立案查处,,是,贪污腐败,,否,2004/2/1,中纪委,是,受贿罪,人民币57.23万,2004/12/9,天津市,天津市,11年有期徒刑,否,,
992,罗清泉,男,汉族,1945/11/1,湖北省,荆州市,江陵县,硕士,1975/12/1,在职,,,,,,,,,,,,,,,,,
993,李鸿忠,男,汉族,1956/1/1,山东省,潍坊市,昌乐县,本科,1976/12/1,在职,,,,,,,,,,,,,,,,,
994,蒋祝平,男,汉族,1937/11/1,江苏省,无锡市,宜兴市,本科,1960/3/1,退休,,,,,,,,,,,,,,,,,
995,周济,男,汉族,1946/8/1,上海市,,,博士,1976/7/1,在职,,,,,,,,,,,,,,,,,
996,李宪生,男,汉族,1954/9/1,山西省,太原市,阳曲县,博士,1973/3/1,在职,,,,,,,,,,,,,,,,,
997,阮成发,男,汉族,1957/10/1,湖北省,武汉市,,博士,1982/6/1,在职,,,,,,,,,,,,,,,,,
998,陈训秋,男,汉族,1955/10/1,湖南省,益阳市,沅江市,硕士,1976/6/1,在职,,,,,,,,,,,,,,,,,
999,苗圩,男,汉族,1955/5/1,北京市,,,硕士,1984/9/1,在职,,,,,,,,,,,,,,,,,
1000,杨松,男,汉族,1950/11/1,河北省,沧州市,海兴县,本科,1975/4/1,在职,,,,,,,,,,,,,,,,,
1001,肖旭明,男,汉族,1955/3/1,湖北省,黄冈市,蕲春县,本科,1975/6/1,在职,,,,,,,,,,,,,,,,,
1002,王建鸣,男,汉族,1957/6/1,河北省,衡水市,武邑县,硕士,1976/6/1,在职,,,,,,,,,,,,,,,,,
1003,杨晓波,男,汉族,1963/1/1,湖北省,,天门市（副地级）,硕士,1988/5/1,在职,,,,,,,,,,,,,,,,,
1004,任世茂,男,汉族,1949/10/1,湖北省,十堰市,房县,硕士,1974/3/1,退休,,,,,,,,,,,,,,,,,
1005,周先旺,男,土家族,1963/11/1,湖北省,恩施土家族苗族自治州,建始县,本科,1987/1/1,在职,,,,,,,,,,,,,,,,,
1006,赵斌,男,汉族,1952/9/1,湖北省,鄂州市,华容区,硕士,1983/12/1,在职,,,,,,,,,,,,,,,,,
1007,陈天会,男,汉族,1955/10/1,湖北省,,南漳县,硕士,1975/1/1,在职,,,,,,,,,,,,,,,,,
1008,汪鸿雁,女,汉族,1970/4/1,湖北省,孝感市,孝昌县,硕士,1992/1/1,在职,,,,,,,,,,,,,,,,,
1009,张嗣义,男,汉族,1955/10/1,湖北省,黄石市,,硕士,1979/6/1,在职,,,,,,,,,,,,,,,,,
1010,周霁,男,汉族,1964/5/1,湖北省,襄阳市,,硕士,1988/11/1,在职,,,,,,,,,,,,,,,,,
1011,张维国,男,汉族,1963/10/1,湖北省,黄冈市,黄梅县,硕士,1986/10/1,在职,,,,,,,,,,,,,,,,,
1012,李佑才,男,汉族,1951/11/1,湖北省,荆州市,监利县,专科,1970/1/1,退休,,,,,,,,,,,,,,,,,
1013,郭有明,男,汉族,1956/12/1,湖北省,随州市,,本科,1985/5/1,立案查处,,是,贪污腐败,,否,2013/11/27,中纪委,是,受贿罪,人民币2380万,2015/6/30,河南省,南阳市,15年有期徒刑,否,,
1014,李乐成,男,汉族,1965/3/1,湖北省,荆州市,监利县,本科,1991/12/1,在职,,,,,,,,,,,,,,,,,
1015,马旭明,男,汉族,1964/10/1,浙江省,绍兴市,嵊州,本科,1986/6/1,在职,,,,,,,,,,,,,,,,,
1016,孙志刚,男,汉族,1954/5/1,河南省,郑州市,荥阳,博士,1976/9/1,在职,,,,,,,,,,,,,,,,,
1017,郑少三,男,汉族,1949/2/1,安徽省,滁州市,凤阳县,本科,1971/10/1,退休,,,,,,,,,,,,,,,,,
1018,黄楚平,男,汉族,1962/10/1,湖北省,黄冈市,,博士,1984/12/1,在职,,,,,,,,,,,,,,,,,
1019,付明珠,男,汉族,1964/6/1,湖北省,,,本科,1981/6/1,在职,,,,,,,,,,,,,,,,,
1020,李德炳,男,汉族,1952/11/1,湖北省,宜昌市,宜都市,硕士,1974/6/1,在职,,,,,,,,,,,,,,,,,
1021,李新华,男,汉族,1963/4/1,湖北省,,仙桃市,硕士,1981/10/1,在职,,,,,,,,,,,,,,,,,
1022,别必雄,男,汉族,1962/1/1,湖北省,,仙桃市,硕士,1982/8/1,在职,,,,,,,,,,,,,,,,,
1023,王君正,男,汉族,1963/5/1,山东省,临沂市,,博士,1987/11/1,在职,,,,,,,,,,,,,,,,,
1024,范锐平,男,汉族,1966/4/1,湖北省,荆门市,钟祥县,硕士,1985/5/1,在职,,,,,,,,,,,,,,,,,
1025,叶贤林,男,汉族,1963/8/1,湖北省,黄石市,,本科,1992/11/1,在职,,,,,,,,,,,,,,,,,
1026,韩进,男,汉族,1959/9/1,辽宁省,营口市,,本科,1989/1/1,在职,,,,,,,,,,,,,,,,,
1027,陶宏,男,汉族,1965/9/1,湖北省,黄冈市,浠水县,硕士,1984/6/1,在职,,,,,,,,,,,,,,,,,
1028,吴永文,男,汉族,1952/6/1,湖北省,荆门市,,硕士,1975/1/1,立案查处,,,违纪,,否,2013/1/20,中纪委,,,,,,,,,,
1029,谢松保,男,汉族,1954/2/1,湖北省,荆州市,监利县,硕士,1972/6/1,退休,,,,,,,,,,,,,,,,,
1030,马荣华,男,汉族,1948/1/1,湖北省,,天门市（副地级）,本科,,立案查处,,否,贪污腐败,,否,2005/8/1,湖北省纪委,是,受贿罪,人民币7万、港币1.9万、美元2.6万,2007/8/21,湖北省,黄冈市,8年有期徒刑,是,2008/3/4,7年有期徒刑
1031,徐松南,男,汉族,1956/6/1,安徽省,安庆市,枞阳县,硕士,1979/6/1,在职,,,,,,,,,,,,,,,,,
1032,梁惠玲,女,汉族,1962/8/1,湖北省,襄阳市,宜城市,硕士,1985/10/1,在职,,,,,,,,,,,,,,,,,
1033,李兵,男,汉族,1962/2/1,湖北省,黄冈市,浠水县,本科,1984/10/1,在职,,,,,,,,,,,,,,,,,
1034,肖菊华,女,汉族,1966/10/1,湖北省,黄冈市,罗田县,本科,1994/7/1,在职,,,,,,,,,,,,,,,,,
1035,万勇,男,汉族,1960/11/1,湖北省,荆州市,洪湖市,本科,1985/10/1,在职,,,,,,,,,,,,,,,,,
1036,王玲,女,汉族,1959/12/1,山东省,泰安市,宁阳县,硕士,1984/10/1,在职,,,,,,,,,,,,,,,,,
1037,傅德辉,男,汉族,1958/3/1,湖北省,黄冈市,红安县,硕士,1975/7/1,在职,,,,,,,,,,,,,,,,,
1038,刘力,男,汉族,1958/1/1,湖北省,武汉市,,本科,1988/7/1,在职,,,,,,,,,,,,,,,,,
1039,许克振,男,汉族,1956/7/1,湖北省,,仙桃市（副地级）,硕士,1975/2/1,在职,,,,,,,,,,,,,,,,,
1040,杨天然,男,土家族,1963/1/1,湖北省,恩施土家族苗族自治州,宣恩县,硕士,1984/7/1,在职,,,,,,,,,,,,,,,,,
1041,岳勇,男,汉族,1956/1/1,湖北省,武汉市,,博士后,1990/6/1,在职,,,,,,,,,,,,,,,,,
1042,梁伟年,男,汉族,1959/10/1,湖北省,随州市,,博士,1980/9/1,在职,,,,,,,,,,,,,,,,,
1043,滕刚,男,汉族,1970/6/1,黑龙江省,七台河市,勃利县,博士,1991/4/1,在职,,,,,,,,,,,,,,,,,
1044,黄关春,男,汉族,1959/2/1,湖北省,鄂州市,,硕士,1979/9/1,在职,,,,,,,,,,,,,,,,,
1045,李建明,男,汉族,1963/1/1,湖北省,武汉市,,博士,1982/1/1,在职,,,,,,,,,,,,,,,,,
1046,王祥喜,男,汉族,1962/8/1,湖北省,,仙桃市（副地级）,硕士,1987/4/1,在职,,,,,,,,,,,,,,,,,
1047,应代明,男,汉族,1954/7/1,湖北省,宜昌市,当阳县,硕士,1973/5/1,在职,,,,,,,,,,,,,,,,,
1048,李春明,男,汉族,1953/10/1,湖北省,十堰市,郧西县,博士,1975/6/1,在职,,,,,,,,,,,,,,,,,
1049,陈安丽,女,汉族,1963/11/1,湖北省,孝感市,汉川市,硕士,1985/4/1,在职,,,,,,,,,,,,,,,,,
1050,刘雪荣,男,汉族,1963/9/1,湖北省,,天门市（副地级）,硕士,1982/4/1,在职,,,,,,,,,,,,,,,,,
1051,刘善桥,男,汉族,1956/11/1,湖北省,随州市,,硕士,1978/4/1,在职,,,,,,,,,,,,,,,,,
1052,段远明,男,汉族,1948/9/1,湖北省,荆州市,公安县,,1985/4/1,退休,,,,,,,,,,,,,,,,,
1053,丁小强,男,汉族,1972/12/1,江苏省,,东台市,博士,1994/3/1,在职,,,,,,,,,,,,,,,,,
1054,任振鹤,男,土家族,1964/2/1,湖北省,恩施土家族苗族自治州,鹤峰县,本科,1985/2/1,在职,,,,,,,,,,,,,,,,,
1055,尹汉宁,男,汉族,1955/1/1,湖北省,鄂州市,,博士,1974/10/1,在职,,,,,,,,,,,,,,,,,
1056,李明波,男,汉族,1950/3/1,湖北省,黄冈市,浠水县,硕士,1971/12/1,退休,,,,,,,,,,,,,,,,,
1057,郄英才,男,汉族,1975/9/1,山东省,青岛市,青州市,硕士,1995/5/1,在职,,,,,,,,,,,,,,,,,
1058,傅振邦,男,汉族,1975/11/1,湖北省,荆州市,石首市,博士,1995/6/1,在职,,,,,,,,,,,,,,,,,
1059,李红云,男,汉族,1962/9/1,湖南省,岳阳市,临湘市,博士,1985/5/1,在职,,,,,,,,,,,,,,,,,
1060,祝金水,男,汉族,1953/4/1,湖北省,孝感市,应城市,本科,1970/6/1,在职,,,,,,,,,,,,,,,,,
1061,马清明,男,汉族,1953/12/1,山东省,菏泽市,郓城县,本科,1981/6/1,在职,,,,,,,,,,,,,,,,,
1062,刘晓鸣,男,汉族,1962/5/1,湖北省,荆州市,洪湖市,硕士,1986/4/1,在职,,,,,,,,,,,,,,,,,
1063,吴超,男,汉族,1952/3/1,湖北省,荆门市,,本科,1975/12/1,在职,,,,,,,,,,,,,,,,,
1064,周文霞,女,汉族,1972/5/1,湖北省,荆门市,京山县,硕士,1992/4/1,在职,,,,,,,,,,,,,,,,,
1065,冯云乔,男,汉族,1962/10/1,湖北省,孝感市,,硕士,1986/6/1,在职,,,,,,,,,,,,,,,,,
1066,刘新池,男,汉族,1962/10/1,湖北省,咸宁市,,硕士,1987/7/1,在职,,,,,,,,,,,,,,,,,
1067,陈吉学,男,汉族,1955/5/1,湖北省,荆州市,江陵县,硕士,1974/11/1,在职,,,,,,,,,,,,,,,,,
1068,黄剑雄,男,汉族,1971/7/1,福建省,莆田市,仙游县,博士,1992/4/1,在职,,,,,,,,,,,,,,,,,
1069,张桂华,男,汉族,1961/7/1,湖北省,荆州市,石首市,本科,1986/6/1,在职,,,,,,,,,,,,,,,,,
1070,朱汉桥,男,汉族,1962/4/1,湖南省,娄底市,双峰县,硕士,1981/12/1,在职,,,,,,,,,,,,,,,,,
1071,王敦胜,男,汉族,1955/2/1,湖北省,荆州市,洪湖市,本科,1975/6/1,在职,,,,,,,,,,,,,,,,,
1072,吴锦,男,汉族,1970/10/1,湖北省,黄冈市,红安县,硕士,1990/12/1,在职,,,,,,,,,,,,,,,,,
1073,柯俊,男,汉族,1965/8/1,湖北省,黄石市,大冶县,硕士,1988/6/1,在职,,,,,,,,,,,,,,,,,
1074,张爱国,男,汉族,1962/9/1,湖北省,随州市,,硕士,1986/7/1,在职,,,,,,,,,,,,,,,,,
1075,杜海洋,男,汉族,1969/11/1,湖北省,宜昌市,秭归县,本科,1991/5/1,在职,,,,,,,,,,,,,,,,,
1076,周森锋,男,汉族,1980/7/1,河南省,许昌市,禹州市,硕士,2000/1/1,在职,,,,,,,,,,,,,,,,,
1077,朱厚伦,男,汉族,1970/10/1,湖北省,黄冈市,麻城市,博士,1992/4/1,在职,,,,,,,,,,,,,,,,,
1078,钱远坤,男,汉族,1964/10/1,湖北省,,天门市（副地级）,硕士,1986/2/1,在职,,,,,,,,,,,,,,,,,
1079,谭徽在,男,土家族,1954/4/1,湖北省,宜昌市,土家族自治县,硕士,1973/6/1,在职,,,,,,,,,,,,,,,,,
1080,黄远志,男,汉族,1940/12/1,湖北省,荆州市,江陵县,硕士,1966/1/1,退休,,,,,,,,,,,,,,,,,
1081,邓道坤,男,汉族,1944/1/1,湖北省,孝感市,大悟县,硕士,1973/12/1,退休,,,,,,,,,,,,,,,,,
1082,张昌尔,男,汉族,1956/8/1,湖北省,黄石市,,博士,1976/6/1,在职,,,,,,,,,,,,,,,,,
1083,宋育英,女,汉族,1948/10/1,河南省,南阳市,淅川县,专科,1970/2/1,退休,,,,,,,,,,,,,,,,,
1084,潘立刚,男,汉族,1956/1/1,北京市,,,本科,1976/12/1,在职,,,,,,,,,,,,,,,,,
1085,侯长安,男,汉族,1954/2/1,陕西省,榆林市,横山县,硕士,1974/11/1,在职,,,,,,,,,,,,,,,,,
1086,楼阳生,男,汉族,1959/10/1,浙江省,金华市,浦江县,硕士,1981/11/1,在职,,,,,,,,,,,,,,,,,
1087,周坚卫,男,汉族,1947/3/1,安徽省,铜陵市,,本科,1973/1/1,退休,,,,,,,,,,,,,,,,,
1088,王晓东(江西省),男,汉族,1960/1/1,江西省,赣州市,信丰县,硕士,1983/1/1,在职,,,,,,,,,,,,,,,,,
1089,张岱梨,女,汉族,1954/12/1,山东省,菏泽市,成武县,硕士,1974/1/1,在职,,,,,,,,,,,,,,,,,
1090,苏晓云,男,土家族,1951/4/1,湖北省,恩施土家族苗族自治州,宣恩县,硕士,1973/11/1,在职,,,,,,,,,,,,,,,,,
1091,王振有,男,汉族,1954/10/1,辽宁省,鞍山市,,博士,1978/9/1,在职,,,,,,,,,,,,,,,,,
1092,王海涛,男,汉族,1962/9/1,湖北省,荆门市,,硕士,1984/5/1,在职,,,,,,,,,,,,,,,,,
1093,袁良宽,男,汉族,1947/8/1,湖北省,荆门市,洪湖市,不详,1973/3/1,退休,,,,,,,,,,,,,,,,,
1094,毛致用,男,汉族,1929/11/1,湖南省,岳阳市,,初中,1952/12/1,退休,,,,,,,,,,,,,,,,,
1095,孙文盛,男,汉族,1942/2/1,山东省,威海市,,本科,1966/2/1,退休,,,,,,,,,,,,,,,,,
1096,胡富国,男,汉族,1937/10/1,山西省,长治市,,硕士,1959/12/1,退休,,,,,,,,,,,,,,,,,
1097,杨汝岱,男,汉族,1926/12/1,四川省,眉山市,仁寿县,高中,1952/8/1,退休,,,,,,,,,,,,,,,,,
1098,吴亦侠,男,汉族,1943/3/1,吉林省,吉林市,,本科,1965/12/1,退休,,,,,,,,,,,,,,,,,
1099,成克杰,男,壮族,1933/11/1,广西壮族自治区,南宁市,上林县,本科,1954/2/1,立案查处,,是,贪污腐败,,否,1999/8/1,中纪委,是,受贿罪,人民币4109万余,2000/7/31,北京市,,死刑,是,2000/8/22,维持原判
1100,孙同川,男,汉族,1940/7/1,河南省,漯河市,舞阳县,本科,1970/3/1,退休,,,,,,,,,,,,,,,,,
1101,邢崇智,男,汉族,1927/8/1,河北省,邯郸市,涉县,初中,1943/4/1,退休,,,,,,,,,,,,,,,,,
1102,程维高,男,汉族,1933/9/1,江苏省,苏州市,,专科,1950/12/1,立案查处,,是,违纪,,否,2003/8/1,中纪委,,,,,,,,,,
1103,关广富,男,满族,1931/12/1,黑龙江省,牡丹江市,穆棱市,本科,1948/7/1,退休,,,,,,,,,,,,,,,,,
1104,杨正午,男,土家族,1941/1/1,湖南省,湘西土家族苗族自治州,龙山县,专科,1969/8/1,退休,,,,,,,,,,,,,,,,,
1105,叶连松,男,汉族,1935/3/1,山东省,烟台市,莱阳市,本科,1958/12/1,退休,,,,,,,,,,,,,,,,,
1106,何竹康,男,汉族,1932/2/1,江苏省,南通市,启东市,本科,1947/4/1,退休,,,,,,,,,,,,,,,,,
1107,陈明义,男,汉族,1940/8/1,福建省,福州市,,硕士,1960/1/1,退休,,,,,,,,,,,,,,,,,
1108,李子奇,男,汉族,1923/9/1,陕西省,榆林市,神木县,专科,1937/2/1,退休,,,,,,,,,,,,,,,,,
1109,白恩培,男,汉族,1946/9/1,陕西省,榆林市,清涧县,本科,1973/6/1,立案查处,,是,贪污腐败,,否,2014/8/29,中纪委,是,受贿罪、巨额财产来源不明罪,人民币2.47亿元,2016/6/1,河南省,安阳市,死缓,否,,
1110,郭树言,男,汉族,1935/10/1,河南省,南阳市,镇平县,本科,1957/3/1,退休,,,,,,,,,,,,,,,,,
1111,王森浩,男,汉族,1933/1/1,浙江省,宁波市,慈溪市,本科,1955/11/1,退休,,,,,,,,,,,,,,,,,
1112,孙英,男,汉族,1936/11/1,天津市,宝坻区,,本科,1956/12/1,退休,,,,,,,,,,,,,,,,,
1113,邓鸿勋,男,汉族,1931/1/1,江苏省,无锡市,,本科,1947/12/1,退休,,,,,,,,,,,,,,,,,
1114,刘剑峰,男,汉族,1936/6/1,天津市,宁河县,,本科,1956/5/1,退休,,,,,,,,,,,,,,,,,
1115,马忠臣,男,汉族,1936/9/1,山东省,泰安市,,专科,1956/1/1,退休,,,,,,,,,,,,,,,,,
1116,多吉才让,男,藏族,1939/11/1,甘肃省,甘南藏族自治州,夏河县,高中,1960/10/1,退休,,,,,,,,,,,,,,,,,
1117,张吾乐,男,汉族,1937/4/1,河北省,保定市,安新县,本科,1982/1/1,退休,,,,,,,,,,,,,,,,,
1118,陈焕友,男,汉族,1934/1/1,江苏省,南通市,,本科,1954/4/1,退休,,,,,,,,,,,,,,,,,
1119,李其炎,男,汉族,1938/10/1,山东省,德州市,,本科,1961/11/1,退休,,,,,,,,,,,,,,,,,
1120,阮崇武,男,汉族,1933/5/1,河北省,张家口市,怀安县,本科,1952/6/1,退休,,,,,,,,,,,,,,,,,
1121,肖秧,男,汉族,1929/7/1,四川省,南充市,阆中市,本科,1947/10/1,退休,,,,,,,,,,,,,,,,,
1122,沈达人,男,汉族,1928/6/1,江苏省,苏州市,吴县,高中,1954/9/1,退休,,,,,,,,,,,,,,,,,
1123,宋汉良,男,汉族,1934/1/1,浙江省,绍兴市,,专科,1960/6/1,退休,,,,,,,,,,,,,,,,,
1124,孙维本,男,汉族,1928/11/1,辽宁省,营口市,,高中,1947/10/1,退休,,,,,,,,,,,,,,,,,
1125,尹克升,男,汉族,1932/3/1,北京市,通州区,,本科,1953/6/1,退休,,,,,,,,,,,,,,,,,
1126,王群(湖北省),男,汉族,1926/9/1,湖北省,武汉市,新洲区,高中,1944/8/1,退休,,,,,,,,,,,,,,,,,
1127,陈辉光,男,汉族,1938/11/1,广西壮族自治区,玉林市,,本科,1965/12/1,退休,,,,,,,,,,,,,,,,,
1128,林若,男,汉族,1924/10/1,广东省,潮州市,潮安区,本科,1945/5/1,退休,,,,,,,,,,,,,,,,,
1129,顾金池,男,汉族,1932/2/1,河北省,保定市,雄县,高中,1949/10/1,退休,,,,,,,,,,,,,,,,,
1130,江村罗布,男,藏族,1932/8/1,四川省,甘孜藏族自治州,巴塘县,专科,1956/5/1,退休,,,,,,,,,,,,,,,,,
1131,沈祖伦,男,汉族,1931/3/1,浙江省,宁波市,,高中,1948/4/1,退休,,,,,,,,,,,,,,,,,
1132,刘志忠,男,汉族,1942/5/1,广东省,汕头市,,本科,1965/9/1,退休,,,,,,,,,,,,,,,,,
1133,许士杰,男,汉族,1920/12/1,广东省,汕头市,澄海区,高中,1938/11/1,退休,,,,,,,,,,,,,,,,,
1134,邵奇惠,男,汉族,1934/6/1,江苏省,无锡市,宜兴市,专科,1953/10/1,退休,,,,,,,,,,,,,,,,,
1135,李锡铭,男,汉族,1926/2/1,河北省,石家庄市,辛集市,本科,1948/3/1,退休,,,,,,,,,,,,,,,,,
1136,侯宗宾,男,汉族,1929/1/1,河北省,邢台市,南和县,高中,1946/6/1,退休,,,,,,,,,,,,,,,,,
1137,高严,男,汉族,1942/12/1,吉林省,长春市,榆树市,硕士,1965/6/1,立案查处,,是,贪污腐败,目前在逃,否,2002/9/1,,,,,,,,,,,
1138,杨析综,男,汉族,1928/9/1,四川省,成都市,大邑县,本科,1952/9/1,退休,,,,,,,,,,,,,,,,,
1139,蒲海清,男,汉族,1941/12/1,四川省,南充市,南部县,本科,1973/11/1,退休,,,,,,,,,,,,,,,,,
1140,郑斯林,男,汉族,1940/5/1,江苏省,苏州市,吴县,本科,1965/11/1,退休,,,,,,,,,,,,,,,,,
1141,张德邻,男,汉族,1939/8/1,北京市,,,本科,1964/6/1,退休,,,,,,,,,,,,,,,,,
1142,聂璧初,男,汉族,1928/1/1,湖南省,常德市,桃源县,本科,1948/9/1,退休,,,,,,,,,,,,,,,,,
1143,赵志浩,男,汉族,1931/11/1,山东省,烟台市,龙口市,专科,1947/6/1,退休,,,,,,,,,,,,,,,,,
1144,王太华,男,汉族,1945/10/1,江西省,赣州市,兴国县,硕士,1973/6/1,退休,,,,,,,,,,,,,,,,,
1145,李立功,男,汉族,1925/2/1,山西省,吕梁市,交城县,初中,1940/3/1,退休,,,,,,,,,,,,,,,,,
1146,陈邦柱,男,汉族,1934/9/1,江西省,九江市,,专科,1975/10/1,退休,,,,,,,,,,,,,,,,,
1147,铁木尔·达瓦买提,男,维吾尔族,1927/6/1,新疆维吾尔自治区,吐鲁番地区,托克逊县,专科,1952/12/1,退休,,,,,,,,,,,,,,,,,
1148,王朝文,男,汉族,1930/10/1,贵州省,黔东南苗族侗族自治州,黄平县,初中,1951/7/1,退休,,,,,,,,,,,,,,,,,
1149,布赫,男,蒙古族,1926/3/1,内蒙古自治区,呼和浩特市,土默特左旗,本科,1942/7/1,退休,,,,,,,,,,,,,,,,,
1150,乌力吉,男,蒙古族,1933/8/1,内蒙古自治区,兴安盟,科尔沁右翼中旗,专科,1953/4/1,退休,,,,,,,,,,,,,,,,,
1151,赵富林,男,汉族,1932/7/1,河北省,邯郸市,大名县,高中,1948/7/1,退休,,,,,,,,,,,,,,,,,
1152,卢荣景,男,汉族,1933/8/1,安徽省,合肥市,庐江县,初中,1954/12/1,退休,,,,,,,,,,,,,,,,,
1153,安启元,男,汉族,1933/7/1,陕西省,西安市,临潼县,专科,1953/4/1,退休,,,,,,,,,,,,,,,,,
1154,葛洪升,男,汉族,1931/10/1,山东省,临沂市,莒南县,初中,1948/12/1,退休,,,,,,,,,,,,,,,,,
1155,贾志杰,男,汉族,1935/12/1,吉林省,松原市,扶余县,本科,1960/5/1,退休,,,,,,,,,,,,,,,,,
1156,陈光毅,男,汉族,1933/8/1,福建省,莆田市,,本科,1959/3/1,退休,,,,,,,,,,,,,,,,,
1157,熊清泉,男,汉族,1927/12/1,湖南省,娄底市,双峰县,本科,1949/4/1,退休,,,,,,,,,,,,,,,,,
1158,岳歧峰,男,汉族,1931/12/1,河北省,邯郸市,大名县,初中,1945/6/1,退休,,,,,,,,,,,,,,,,,
1159,宋宝瑞,男,汉族,1937/12/1,北京市,顺义区,,硕士,1958/12/1,退休,,,,,,,,,,,,,,,,,
1160,高德占,男,汉族,1932/8/1,山东省,烟台市,栖霞市,本科,1950/4/1,退休,,,,,,,,,,,,,,,,,
1161,白立忱,男,回族,1941/1/1,辽宁省,朝阳市,凌源市,专科,1971/4/1,退休,,,,,,,,,,,,,,,,,
1162,叶选平,男,汉族,1924/11/1,广东省,梅州市,梅县,本科,1945/9/1,退休,,,,,,,,,,,,,,,,,
1163,阎海旺,男,汉族,1939/9/1,河南省,郑州市,,专科,1966/3/1,退休,,,,,,,,,,,,,,,,,
1164,韦纯束,男,壮族,1922/6/1,广西壮族自治区,来宾市,象州县,初中,1941/3/1,退休,,,,,,,,,,,,,,,,,
1165,白清才,男,汉族,1932/11/1,山西省,忻州市,五台县,高中,1955/10/1,退休,,,,,,,,,,,,,,,,,
1166,全树仁,男,汉族,1930/8/1,辽宁省,沈阳市,新民市,高中,1949/4/1,退休,,,,,,,,,,,,,,,,,
1167,李泽民,男,汉族,1934/11/1,四川省,广元市,苍溪县,本科,1954/6/1,退休,,,,,,,,,,,,,,,,,
1168,万学远,男,汉族,1941/1/1,湖北省,黄冈市,,本科,1961/6/1,退休,,,,,,,,,,,,,,,,,
1169,郭振乾,男,汉族,1932/2/1,河南省,洛阳市,洛宁县,本科,1949/6/1,退休,,,,,,,,,,,,,,,,,
1170,王茂林,男,汉族,1934/12/1,江苏省,南通市,启动市,专科,1956/6/1,退休,,,,,,,,,,,,,,,,,
1171,陈士能,男,汉族,1938/7/1,浙江省,嘉兴市,,本科,1962/6/1,退休,,,,,,,,,,,,,,,,,
1172,和志强,男,纳西族,1934/10/1,云南省,丽江市,,专科,1956/3/1,退休,,,,,,,,,,,,,,,,,
1173,张皓若,男,汉族,1932/8/1,河南省,郑州市,巩县,本科,1950/6/1,退休,,,,,,,,,,,,,,,,,
1174,朱森林,男,汉族,1930/10/1,上海市,浦东新区,,本科,1952/7/1,退休,,,,,,,,,,,,,,,,,
1175,王忠禹,男,汉族,1933/2/1,吉林省,长春市,,专科,1956/5/1,退休,,,,,,,,,,,,,,,,,
1176,普朝柱,男,汉族,1929/8/1,云南省,玉溪市,华宁县,高中,1948/2/1,退休,,,,,,,,,,,,,,,,,
1177,云布龙,男,蒙古族,1937/12/1,内蒙古自治区,呼和浩特市,土默特左旗,本科,1958/12/1,死亡,,,,,,,,,,,,,,,,,
1178,黄璜,男,汉族,1933/8/1,江苏省,淮安市,涟水县,专科,1949/4/1,退休,,,,,,,,,,,,,,,,,
1179,刘正威,男,汉族,1930/2/1,河南省,郑州市,新郑市,高中,1952/9/1,退休,,,,,,,,,,,,,,,,,
1180,张勃兴,男,汉族,1930/8/1,河北省,廊坊市,霸州县,专科,1950/11/1,退休,,,,,,,,,,,,,,,,,
1181,金基鹏,男,回族,1934/1/1,江苏省,南京市,,专科,1953/12/1,退休,,,,,,,,,,,,,,,,,
1182,荆福生,男,汉族,1952/6/1,河南省,焦作市,孟县,不详,,立案查处,,是,贪污腐败,,否,2005/10/1,中纪委,是,受贿罪,人民币766万余,2007/9/14,浙江省,温州市,无期徒刑,否,,
1183,朱之文,男,汉族,1958/10/1,福建省,漳州市,东山县,本科,1980/6/1,在职,,,,,,,,,,,,,,,,,
1184,周金伙,男,汉族,,福建省,,,,,立案查处,,是,贪污腐败,目前在逃,否,2006/6/1,,,,,,,,,,,
1185,陈荣凯,男,汉族,1955/4/1,福建省,福州市,闽侯县,博士,1985/3/1,在职,,,,,,,,,,,,,,,,,
1186,廖小军,男,汉族,1962/6/1,福建省,龙岩市,上杭县,博士,,在职,,,,,,,,,,,,,,,,,
