,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,军队,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
46,陈伟(浙江省),男,汉族,1966/10/1,浙江省,金华市,,博士,1987/2/1,降/辞/撤职,,是,违纪,降为科级非领导职务,是,2015/2/28,山东省纪委,否,,,,,,,,,
47,张术平,男,汉族,1964/1/1,山东省,潍坊市,诸城市,硕士,1985/6/1,在职,,,,,,,,,,,,,,,,,
48,耿文清,男,汉族,1955/10/1,山东省,潍坊市,青州市,硕士,1984/5/1,降/辞/撤职,,否,违纪,2010年12月，山东省统战部网站上其名字被撤掉，后再无任何消息,否,2012/12/1,山东省纪委,否,,,,,,,,,
49,李洪峰,男,汉族,1956/6/1,山东省,潍坊市,青州市,硕士,1975/11/1,在职,,,,,,,,,,,,,,,,,
50,鲍志强,男,汉族,1949/2/1,山东省,青岛市,胶州县,硕士,1973/12/1,退休,,,,,,,,,,,,,,,,,
51,杨鲁豫,男,汉族,1957/3/1,山东省,日照市,莒县,博士,1985/7/1,立案查处,,是,贪污腐败,,否,2016/4/6,中纪委,是,受贿罪,人民币2327万元,2017/3/23,河南省,平顶山市,14年有期徒刑,否,,
52,贾学英,男,汉族,1953/9/1,山东省,菏泽市,鄄城县,专科,1976/4/1,在职,,,,,,,,,,,,,,,,,
53,王云鹏,男,汉族,1961/11/1,山东省,菏泽市,巨野县,硕士,1982/8/1,在职,,,,,,,,,,,,,,,,,
54,李玉妹,女,汉族,1956/10/1,山东省,临沂市,沂南县,硕士,1976/4/1,在职,,,,,,,,,,,,,,,,,
55,于建成,男,汉族,1953/11/1,山东省,威海市,文登市,专科,1973/12/1,在职,,,,,,,,,,,,,,,,,
56,刘富春,男,汉族,1950/2/1,山东省,德州市,夏津县,硕士,1971/1/1,退休,,,,,,,,,,,,,,,,,
57,杨宜新,男,汉族,1964/5/1,湖北省,荆州市,公安县,硕士,1988/4/1,在职,,,,,,,,,,,,,,,,,
58,于希信,男,汉族,1950/4/1,山东省,烟台市,招远市,专科,1973/4/1,退休,,,,,,,,,,,,,,,,,
59,乔延春,男,汉族,1948/8/1,山东省,烟台市,龙口市,本科,1972/1/1,退休,,,,,,,,,,,,,,,,,
60,李群,男,汉族,1962/2/1,山东省,威海市,文登市,博士,1984/5/1,在职,,,,,,,,,,,,,,,,,
61,连承敏,男,汉族,1951/3/1,山东省,威海市,荣成市,本科,1972/12/1,退休,,,,,,,,,,,,,,,,,
62,张少军,男,汉族,1955/10/1,山东省,潍坊市,临朐县,硕士,1981/12/1,在职,,,,,,,,,,,,,,,,,
63,张务锋,男,汉族,1960/10/1,山东省,莱芜市,,硕士,1984/3/1,在职,,,,,,,,,,,,,,,,,
64,焉荣竹,男,汉族,1952/11/1,山东省,威海市,乳山市,硕士,1971/9/1,在职,,,,,,,,,,,,,,,,,
65,张江汀,男,汉族,1961/10/1,山东省,潍坊市,昌邑县,硕士,1984/12/1,在职,,,,,,,,,,,,,,,,,
66,王良,男,汉族,1964/6/1,山东省,威海市,乳山市,硕士,1985/3/1,在职,,,,,,,,,,,,,,,,,
67,张惠来,男,汉族,1942/12/1,山东省,威海市,荣成市,本科,1970/1/1,退休,,,,,,,,,,,,,,,,,
68,杜世成,男,汉族,1950/3/1,山东省,烟台市,龙口市,硕士,1972/12/1,立案查处,,是,贪污腐败,,否,2006/12/24,中纪委,是,受贿罪,人民币626万,2008/2/6,福建省,厦门市,无期徒刑,否,,
69,阎启俊,男,汉族,1950/5/1,山东省,滨州市,博兴县,本科,1972/1/1,在职,,,,,,,,,,,,,,,,,
70,夏耕,男,汉族,1957/1/1,黑龙江省,哈尔滨市,五常市,博士,1984/12/1,在职,,,,,,,,,,,,,,,,,
71,张新起,男,汉族,1956/8/1,山东省,威海市,荣成市,硕士,1977/3/1,在职,,,,,,,,,,,,,,,,,
72,张建国,男,汉族,1954/1/1,山东省,滨州市,沾化县,硕士,1973/9/1,在职,,,,,,,,,,,,,,,,,
73,刘慧晏,男,汉族,1964/6/1,山东省,烟台市,招远市,博士,1987/4/1,在职,,,,,,,,,,,,,,,,,
74,周清利,男,汉族,1954/10/1,山东省,滨州市,惠民县,硕士,1975/1/1,退休,,,,,,,,,,,,,,,,,
75,曹学成,男,汉族,1947/1/1,山东省,泰安市,新泰市,硕士,1966/1/1,退休,,,,,,,,,,,,,,,,,
76,王伯祥,男,汉族,1943/2/1,山东省,潍坊市,寿光市,高中,1965/12/1,退休,,,,,,,,,,,,,,,,,
77,许立全,男,汉族,1955/5/1,山东省,聊城市,,博士,1982/1/1,在职,,,,,,,,,,,,,,,,,
78,刘曙光,男,汉族,1962/11/1,山东省,威海市,文登市,硕士,1984/11/1,在职,,,,,,,,,,,,,,,,,
79,李兆前,男,汉族,1962/1/1,山东省,青岛市,胶州市,博士,1984/12/1,在职,,,,,,,,,,,,,,,,,
80,杨军,男,汉族,1959/11/1,山东省,青岛市,,硕士,1983/3/1,在职,,,,,,,,,,,,,,,,,
81,赵效为,男,汉族,1957/7/1,山东省,菏泽市,鄄城县,博士,1976/11/1,在职,,,,,,,,,,,,,,,,,
82,李同道,男,汉族,1964/4/1,山东省,潍坊市,寿光市,博士,1989/3/1,在职,,,,,,,,,,,,,,,,,
83,谢玉堂,男,汉族,1946/2/1,山东省,烟台市,栖霞县,高中,1966/6/1,退休,,,,,,,,,,,,,,,,,
84,孙淑义,男,汉族,1945/11/1,山东省,济南市,商河县,专科,1971/1/1,降/辞/撤职,,否,违纪,,否,2009/12/17,中纪委,否,,,,,,,,,
85,胡苏平,女,汉族,1956/8/1,山西省,忻州市,五台县,博士,1975/2/1,在职,,,,,,,,,,,,,,,,,
86,黄有泉,男,汉族,1946/4/1,山西省,运城市,稷山县,专科,1966/7/1,退休,,,,,,,,,,,,,,,,,
87,白云,女,汉族,1960/12/1,山西省,忻州市,五台县,硕士,1979/12/1,立案查处,,是,贪污腐败,,否,2014/8/29,中纪委,是,受贿罪,人民币1700万,2016/10/9,江苏省,南通市,12年有期徒刑,否,,
88,张茂才,男,汉族,1954/9/1,山西省,忻州市,保德县,硕士,1974/10/1,在职,,,,,,,,,,,,,,,,,
89,高卫东,男,汉族,1957/11/1,山西省,吕梁市,离石区,硕士,1986/6/1,在职,,,,,,,,,,,,,,,,,
90,王守祯,男,汉族,1951/11/1,山西省,晋中市,寿阳县,硕士,1970/1/1,退休,,,,,,,,,,,,,,,,,
91,王安庞,男,汉族,1958/5/1,山西省,长治市,长子县,硕士,1978/3/1,在职,,,,,,,,,,,,,,,,,
92,张少农,男,汉族,1954/7/1,山西省,长治市,沁县,本科,1974/3/1,在职,,,,,,,,,,,,,,,,,
93,李雁红,男,汉族,1952/9/1,山西省,阳泉市,盂县,硕士,1974/10/1,在职,,,,,,,,,,,,,,,,,
94,贺锐,男,汉族,1944/8/1,山西省,大同市,阳高县,本科,1973/9/1,退休,,,,,,,,,,,,,,,,,
95,夏振贵,男,汉族,1956/9/1,山西省,朔州市,应县,硕士,1978/3/1,降/辞/撤职,,否,责任事故,,是,2008/9/20,山西省纪委,否,,,,,,,,,
96,王茂设,男,汉族,1957/8/1,山西省,临汾市,安泽县,硕士,1982/4/1,立案查处,,是,贪污腐败,,否,2014/8/19,山西省纪委,是,受贿罪,人民币5235万元,2017/1/6,江苏省,徐州市,15年有期徒刑,否,,
97,王清宪,男,汉族,1963/7/1,河北省,邯郸市,永年县,博士,1986/8/1,在职,,,,,,,,,,,,,,,,,
98,樊纪亨,男,汉族,1944/7/1,山西省,临汾市,安泽县,本科,1971/12/1,退休,,,,,,,,,,,,,,,,,
99,王国正,男,汉族,1952/1/1,山西省,运城市,万荣县,硕士,1984/9/1,退休,,,,,,,,,,,,,,,,,
100,谢海,男,汉族,1953/10/1,山西省,忻州市,繁峙县,本科,1974/3/1,在职,,,,,,,,,,,,,,,,,
101,李天太,男,汉族,1957/3/1,山西省,朔州市,,博士,1976/12/1,降/辞/撤职,,否,责任事故,,是,2007/12/18,,否,,,,,,,,,
102,刘志杰,男,汉族,1962/11/1,山西省,晋中市,榆次区,硕士,1982/1/1,降/辞/撤职,,否,责任事故,,是,2008/9/1,,否,,,,,,,,,
103,罗清宇,男,汉族,1963/10/1,山西省,忻州市,原平县,硕士,1986/6/1,在职,,,,,,,,,,,,,,,,,
104,岳普煜,男,汉族,1959/10/1,山西省,太原市,,博士,1985/9/1,在职,,,,,,,,,,,,,,,,,
105,吕日周,男,汉族,1945/1/1,山西省,大同市,,本科,,退休,,,,,,,,,,,,,,,,,
106,张兵生,男,汉族,1955/9/1,山西省,临汾市,襄汾县,本科,1975/1/1,降/辞/撤职,,否,违纪,,是,2011/2/18,,否,,,,,,,,,
107,杜善学,男,汉族,1956/2/1,山西省,运城市,临猗县,硕士,1975/1/1,立案查处,,是,贪污腐败,,否,2014/6/19,中纪委,是,受贿罪、行贿罪、巨额财产来源不明最,受贿罪人民币8011万元，巨额财产来源不明罪人民币8961万元,2016/8/30,江苏省,徐州市,无期徒刑,否,,
108,田喜荣,男,汉族,1955/11/1,山西省,忻州市,宁武县,本科,1975/5/1,在职,,,,,,,,,,,,,,,,,
109,张保,男,汉族,1957/9/1,山西省,忻州市,,硕士,1976/9/1,立案查处,,是,贪污腐败,,否,2014/8/18,山西省纪委,是,滥用职权罪、受贿罪,,2015/4/1,山西省,阳泉市,13年有期徒刑,是,,
110,刘俊谦,男,汉族,1947/8/1,河北省,保定市,阜平县,硕士,,退休,,,,,,,,,,,,,,,,,
111,吴清海,男,汉族,1962/11/1,陕西省,西安市,临潼区,本科,1992/3/1,在职,,,,,,,,,,,,,,,,,
112,张璞,男,汉族,1956/9/1,山西省,临汾市,,硕士,1976/6/1,在职,,,,,,,,,,,,,,,,,
113,李永宏,男,汉族,1952/10/1,山西省,临汾市,翼城县,硕士,1984/9/1,在职,,,,,,,,,,,,,,,,,
114,王雅安,男,汉族,1949/10/1,山西省,运城市,垣曲县,本科,1973/7/1,退休,,,,,,,,,,,,,,,,,
115,郭海亮,男,汉族,1951/10/1,山西省,吕梁市,岚县,硕士,1972/9/1,退休,,,,,,,,,,,,,,,,,
116,丁雪峰,男,汉族,1963/9/1,山西省,大同市,左云县,硕士,1986/8/1,立案查处,,否,贪污腐败,,否,2014/2/20,中纪委,是,,,,,,,,,
117,云公民,男,蒙古族,1950/9/1,内蒙古自治区,呼和浩特市,,本科,1979/1/1,退休,,,,,,,,,,,,,,,,,
118,申维辰,男,汉族,1956/5/1,山西省,长治市,潞城县,硕士,1979/1/1,立案查处,,是,贪污腐败,,否,2014/4/12,中纪委,是,,,,,,,,,
119,陈川平,男,汉族,1962/2/1,山西省,运城市,平陆县,硕士,1985/3/1,立案查处,,是,贪污腐败,,否,2014/8/23,中纪委,是,,,,,,,,,
120,廉毅敏,男,汉族,1964/3/1,山西省,晋中市,平遥县,博士,1984/7/1,在职,,,,,,,,,,,,,,,,,
121,耿彦波,男,汉族,1958/11/1,山西省,晋中市,和顺县,硕士,1981/12/1,在职,,,,,,,,,,,,,,,,,
122,吕德功,男,汉族,1948/7/1,山西省,太原市,娄烦县,硕士,1973/2/1,退休,,,,,,,,,,,,,,,,,
123,张怀文,男,汉族,1947/11/1,山西省,晋中市,榆社县,,,退休,,,,,,,,,,,,,,,,,
124,耿怀英,男,汉族,1950/7/1,山西省,晋中市,昔阳县,硕士,1968/5/1,退休,,,,,,,,,,,,,,,,,
125,李平社,男,汉族,1955/12/1,山西省,晋城市,阳城县,硕士,1978/5/1,退休,,,,,,,,,,,,,,,,,
126,郑连生,男,汉族,1965/4/1,山西省,长治市,潞城县,硕士,1985/2/1,在职,,,,,,,,,,,,,,,,,
127,张建欣,女,汉族,1955/10/1,河北省,石家庄市,无极县,硕士,1975/6/1,在职,,,,,,,,,,,,,,,,,
128,郭良孝,男,汉族,1952/1/1,山西省,吕梁市,孝义县,本科,1971/3/1,退休,,,,,,,,,,,,,,,,,
129,洪发科,男,汉族,1956/10/1,山西省,临汾市,曲沃县,硕士,1979/1/1,立案查处,,是,贪污腐败,,否,2015/7/3,山西省纪委,是,,,,,,,,,
130,程步云,男,汉族,1945/11/1,山西省,忻州市,河曲县,本科,1973/9/1,退休,,,,,,,,,,,,,,,,,
131,李栋梁,男,汉族,1958/8/1,山西省,大同市,左云县,硕士,1977/5/1,在职,,,,,,,,,,,,,,,,,
132,阎沁生,男,汉族,1948/9/1,山西省,长治市,沁县,专科,1971/7/1,退休,,,,,,,,,,,,,,,,,
133,冯改朵,女,汉族,1957/8/1,山西省,运城市,稷山县,硕士,1976/9/1,在职,,,,,,,,,,,,,,,,,
134,李正印,男,汉族,1962/8/1,山西省,长治市,武乡县,硕士,1984/6/1,在职,,,,,,,,,,,,,,,,,
135,高建民,男,汉族,1960/11/1,山西省,阳泉市,盂县,博士,1982/12/1,在职,,,,,,,,,,,,,,,,,
136,来玉龙,男,汉族,1945/11/1,山西省,朔州市,应县,本科,1966/4/1,退休,,,,,,,,,,,,,,,,,
137,丰立祥,男,汉族,1957/8/1,山西省,朔州市,山阴县,博士,1976/9/1,立案查处,,是,贪污腐败,,否,2014/10/15,山西省纪委,是,,,,,,,,,
138,孙辅智,男,汉族,1945/1/1,山西省,大同市,阳高县,本科,1973/11/1,退休,,,,,,,,,,,,,,,,,
